"TrueMSEpropPre" "MSEpropMC.Br" "TrueMSEgapPre" "MSEgapMC.Br"
"1" 0.00631872 0.0172732647025867 0.000218991031541366 0.000497530352163424
"2" 0.02524288 0.0172483228599627 0.00148249050151546 0.000496402314192132
"3" 0.01749248 0.0175380839154801 0.00093546954321865 0.000510713499651411
"4" 0.009872 0.0171943685901217 0.000500991792897738 0.000484164247594024
"5" 0.020936 0.0182508044621304 0.0012986876196335 0.000530405965845553
"6" 0.01173632 0.0187194420648477 0.000461620825050373 0.000551650656978534
"7" 0.01224 0.0176268296929573 0.000651587107075612 0.000517640100003322
"8" 0.10956608 0.0176751287684924 0.00951244989100526 0.000517874873145355
"9" 0.01393472 0.0182761952917206 0.000528150527682968 0.00054906047122325
"10" 0.01724832 0.017997197214238 0.000600221549357286 0.000512038088549271
"11" 0.00885312 0.0179496293786551 0.000429067237810474 0.000539853098010612
"12" 0.00691232 0.0178733029094651 0.000191722410444779 0.000522327535423823
"13" 0.07882272 0.0174573504494295 0.00545120553460467 0.000510179377052787
"14" 0.01028672 0.0177434375099948 0.000505015355287191 0.00051884336139907
"15" 0.00184608 0.0184134639994032 0.000114350403139411 0.00055644976993714
"16" 0.06928 0.0185563827132366 0.00460184319686587 0.000552335327195452
"17" 0.00980512 0.0180321818329543 0.00023987104874305 0.000541201021723755
"18" 0.03076768 0.0175804644581232 0.00210415549626532 0.00050486597770663
"19" 0.02627872 0.018197359134994 0.00109739661539766 0.000532803418980318
"20" 0.01550848 0.0178555541738784 0.00107859110595967 0.000525594336201564
"21" 0.006568 0.0177158893025585 0.00021716411563704 0.000519769879660162
"22" 0.00553792 0.0182316429449954 0.000383380312273547 0.000550367964247564
"23" 0.01766528 0.0176985219210387 0.000609534301531343 0.000503892264809675
"24" 0.02576512 0.0174255692458709 0.00105337861565209 0.000497954688200352
"25" 0.00145952 0.0163657624431877 0.000103812919633096 0.000465320653196247
"26" 0.00352832 0.0175131304828394 0.000150589182081651 0.000498605792621495
"27" 0.03231648 0.0176713911195106 0.0019280035440529 0.000510589628428139
"28" 0.03298432 0.0175041306868601 0.00188824625296594 0.000518923210540317
"29" 0.00350752 0.0170968609420195 0.000154375464558436 0.000506728785870068
"30" 0.002448 0.0175448799359763 9.9062695172443e-05 0.000515775056617096
"31" 0.00642688 0.0177119958639067 0.000257621163687368 0.000527482647934501
"32" 0.009104 0.0172364890424754 0.000300742601203504 0.000500138114806382
"33" 0.00504608 0.0178035732405588 0.000180873628759722 0.000512276842416382
"34" 0.00735488 0.0168062355978166 0.000614171320347606 0.000491436289262008
"35" 0.00438688 0.0172120881031091 0.000213185784452642 0.000503997907017408
"36" 0.00759328 0.0173553673857584 0.000330766672971982 0.000506226682736221
"37" 0.005536 0.0178009209576645 0.000169150059223966 0.000530302145909958
"38" 0.00452 0.018338910192184 0.000159444751944438 0.000539801809689869
"39" 0.01689152 0.017190663264437 0.000914696752639656 0.000484019865718219
"40" 0.04684832 0.0175217358026255 0.00272943240583372 0.000515972685582516
"41" 0.00341632 0.0180837686534674 0.00010437383372971 0.000542409741991995
"42" 0.02592032 0.0173404608618615 0.00135228127165322 0.000491680281759238
"43" 0.02431552 0.0176137559278233 0.000980656577291242 0.000520010530179449
"44" 0.01042208 0.0176650275749478 0.000249202438722384 0.000487522197844421
"45" 0.01844768 0.018253212422163 0.000573044718011597 0.000551611335861534
"46" 0.00722592 0.0175255724309866 0.000372429900983663 0.000509641984953963
"47" 0.09356288 0.0178381005054091 0.00613476159176982 0.00052436068473446
"48" 0.006176 0.0170999193408964 0.000380927131660763 0.000497429365247851
"49" 0.01281568 0.0182225462511062 0.000491054905169101 0.000547950234843127
"50" 0.034856 0.0173679135238234 0.0018764193484081 0.000514075441645407
"51" 0.02270848 0.0174494032855954 0.000724125870028372 0.000515698170889709
"52" 0.03453728 0.0175006557572827 0.00141947782598435 0.000510696963614491
"53" 0.00872992 0.0175352512102268 0.000365148491266772 0.000495455724049509
"54" 0.02896928 0.0175293242242831 0.00155961345417279 0.000508544519442832
"55" 0.015776 0.0176534344184796 0.000567192516832943 0.000522694228659292
"56" 0.017872 0.0169463806213298 0.000885831294887668 0.000493952638299604
"57" 0.01640512 0.0176386616441694 0.000676753214330452 0.000531417345678289
"58" 0.00801088 0.0178744322113167 0.000288544842649942 0.000523341362306233
"59" 0.00839488 0.0168502507486402 0.00038766709139289 0.00048790766067597
"60" 0.01671808 0.0176122227616478 0.000651840379464972 0.000514571810531024
"61" 0.00269568 0.017051121928429 0.000139640603349186 0.000506623991344341
"62" 0.00139168 0.0175966799128343 5.2661764239823e-05 0.000510458703806928
"63" 0.00510368 0.0176233823693092 0.00017649793503923 0.000507339535423681
"64" 0.01296928 0.0171299187036417 0.00052230405551517 0.000497056748987273
"65" 0.00792128 0.0173570043255343 0.000404587548363249 0.000505919052792254
"66" 0.00373568 0.0167320822971463 0.000126553010747865 0.000491322617242944
"67" 0.00819872 0.0178455562324794 0.000403241790437726 0.000527737517622458
"68" 0.00526912 0.0168925494636372 0.000159209952439405 0.000489633990943631
"69" 0.00567712 0.0173152971003909 0.000275623882134324 0.000518728389957774
"70" 0.02513408 0.016695091510792 0.00121622264015592 0.000487876273049095
"71" 0.003488 0.0174311752191485 0.000111352888985588 0.000508248819005043
"72" 0.00865408 0.0167174893428396 0.000527431878174578 0.000488044198076374
"73" 0.017744 0.0177352695596321 0.00107309457276855 0.000531550688004991
"74" 0.01001632 0.0167712845349794 0.000538215084229247 0.000485495045856735
