"propfin" "gapfin" "propfin.ELL" "gapfin.ELL"
0.13408 0.0268131467622813 0.15104 0.031972248710707
0.09264 0.0176198917673522 0.14304 0.0306789739331795
0.10488 0.0196490578946235 0.14544 0.0307975872914959
0.2304 0.0521990712587331 0.16 0.0348669878622595
0.12424 0.0252970072007223 0.14448 0.0305421756224155
0.06584 0.0120540259285176 0.15368 0.033556829626319
0.08792 0.0168576610870538 0.1604 0.0343145280947954
0.16944 0.036022537476409 0.14568 0.0310466917003048
0.24328 0.0558243772162057 0.1456 0.0319062576736868
0.1336 0.0264577372251235 0.14392 0.0300982236454637
0.09088 0.0172176110716833 0.14944 0.0320215586889654
0.14184 0.0294271652692649 0.168 0.0366024216873898
0.1352 0.0284402233962549 0.14816 0.0319133300589822
0.17176 0.0362848987798107 0.14632 0.030792179260478
0.14792 0.0309063577154112 0.15848 0.0346100249757379
0.15368 0.0323012817223331 0.148 0.0310720966874156
0.07008 0.0127370894577665 0.1756 0.039394503981812
0.23736 0.0534418106195227 0.13008 0.0281333025659019
0.09392 0.0178412662641379 0.14168 0.0300097816985619
0.1824 0.0392340693412231 0.14968 0.0319668593778651
0.12648 0.024957456862923 0.15032 0.0314007464291381
0.09368 0.0178335469937064 0.14624 0.0310029111345186
0.16752 0.0358426393898735 0.15928 0.0351047829206678
0.0952 0.0188052892242758 0.13808 0.0302932552061692
0.08736 0.0164499310158788 0.14912 0.032249113995808
0.29528 0.072851211018084 0.1532 0.0326587761208688
0.09864 0.0194078857628854 0.14048 0.0298372071810052
0.11232 0.0218289646675283 0.14776 0.0309576407560445
0.09944 0.0196843839509019 0.16 0.0353226296533962
0.17936 0.0394378361875791 0.14096 0.0310205421139984
0.03168 0.00498993990301779 0.14496 0.031208648383585
0.07568 0.0139386646231723 0.14744 0.0317868571635386
0.11432 0.0221422755502082 0.1448 0.0300640865089755
0.19904 0.0442583271308735 0.15528 0.0351683039485586
0.21856 0.0479283087928143 0.13816 0.0295255408993079
0.24464 0.0581286958653612 0.12832 0.0261345934644249
0.17688 0.0390766414928666 0.1572 0.035313337703146
0.07088 0.0130851647643172 0.15408 0.0324194240714896
0.21016 0.0476778817966157 0.15312 0.0328426563037073
0.0752800000000001 0.0144002307182611 0.14304 0.0309533818759992
0.18712 0.0410386602596878 0.14168 0.0306375969106472
0.13456 0.027038523329652 0.16992 0.0365429452486796
0.15808 0.0326172496280196 0.13976 0.0301712851058462
0.13856 0.0280736230703748 0.15528 0.0339807273625469
0.1124 0.0218382420313657 0.15472 0.0326445216114717
0.28432 0.0677718187275183 0.1492 0.031785359027743
0.04048 0.00697981763135673 0.1668 0.0359209270000148
0.09608 0.0184888582699493 0.16 0.0365642354470114
0.17208 0.0369819084115257 0.14304 0.0301659789920508
0.15304 0.0314341649465245 0.14632 0.0311551876520086
0.17616 0.037754733860631 0.13824 0.0291860299876847
0.09256 0.0175469607389459 0.14776 0.0326661413325386
0.06984 0.0123402060751627 0.1368 0.0280602489735253
0.15936 0.0327940917466533 0.16112 0.03455336891277
0.11264 0.0224147452554544 0.14664 0.0313689145084902
0.20168 0.0455170991515399 0.13144 0.0269248737032849
0.09064 0.0167479734013764 0.1536 0.0337423131486748
0.31392 0.079047920124442 0.1476 0.0306356024869135
0.16768 0.0352614021847567 0.16024 0.0341273854523537
0.27744 0.0661954242500562 0.14784 0.0320915615068752
0.25112 0.0588178988952009 0.1456 0.0301303896757409
0.16256 0.0348131071480385 0.15992 0.0351101237615809
0.14336 0.0293789635507946 0.13864 0.0310752769548241
0.08168 0.015597149993116 0.16544 0.0369753314867636
0.22464 0.0507404925691409 0.1648 0.0360416752132015
0.15296 0.032262365028975 0.13712 0.0289225897824784
0.1444 0.030432341922885 0.14576 0.0310305449409832
0.30008 0.0739403413008102 0.14616 0.0305484362678193
0.04216 0.00716784098823193 0.14216 0.0299327990867608
0.0996 0.0196482067224439 0.14664 0.032087818212465
0.24616 0.0573902311075392 0.1504 0.0320999859073874
0.22392 0.0510923882179449 0.15416 0.0327748422478928
0.14512 0.0297801680543847 0.15928 0.0341001280799272
0.09432 0.0183536438630051 0.12392 0.0255986927283881
0.20224 0.0446267949361195 0.12152 0.0242219201677083
0.176 0.0370200070129705 0.14728 0.0309082097297784
0.13208 0.0270970652985736 0.15584 0.0336303039926274
0.09632 0.0188230011914356 0.14792 0.0318386997929207
0.0750400000000001 0.0135792826481427 0.14448 0.031626754116076
0.1848 0.0405362061000428 0.15976 0.0350462174388317
